127.0.0.1 - - [12/Mar/2021:16:26:26 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Mar/2021:16:26:28 +0530] "GET /Supermarket_Management_System/login.jsp HTTP/1.1" 200 795
0:0:0:0:0:0:0:1 - - [12/Mar/2021:16:26:28 +0530] "GET /Supermarket_Management_System/css/signup-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2021:16:26:42 +0530] "GET /Supermarket_Management_System/css/home-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2021:16:26:44 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Mar/2021:16:26:53 +0530] "GET /Supermarket_Management_System/login.jsp HTTP/1.1" 200 795
0:0:0:0:0:0:0:1 - - [12/Mar/2021:16:26:53 +0530] "GET /Supermarket_Management_System/css/signup-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2021:16:28:25 +0530] "POST /Supermarket_Management_System/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Mar/2021:16:28:26 +0530] "GET /Supermarket_Management_System/home.jsp HTTP/1.1" 200 2886
0:0:0:0:0:0:0:1 - - [12/Mar/2021:16:28:42 +0530] "GET /Supermarket_Management_System/addToCartAction.jsp?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Mar/2021:16:28:42 +0530] "GET /Supermarket_Management_System/home.jsp?msg=exist HTTP/1.1" 200 2968
0:0:0:0:0:0:0:1 - - [12/Mar/2021:16:29:10 +0530] "GET /Supermarket_Management_System/myCart.jsp HTTP/1.1" 200 3988
0:0:0:0:0:0:0:1 - - [12/Mar/2021:16:29:25 +0530] "GET /Supermarket_Management_System/home.jsp HTTP/1.1" 200 2886
0:0:0:0:0:0:0:1 - - [12/Mar/2021:16:29:28 +0530] "GET /Supermarket_Management_System/myCart.jsp HTTP/1.1" 200 3988
0:0:0:0:0:0:0:1 - - [12/Mar/2021:16:29:44 +0530] "GET /Supermarket_Management_System/incDecQuantityAction.jsp?id=1&quantity=dec HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Mar/2021:16:39:48 +0530] "GET /Supermarket_Management_System/removeFromCart.jsp?id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Mar/2021:16:39:48 +0530] "GET /Supermarket_Management_System/myCart.jsp?msg=removed HTTP/1.1" 200 3454
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:02:30 +0530] "GET /Supermarket_Management_System/myCart.jsp?msg=removed HTTP/1.1" 200 3454
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:02:30 +0530] "GET /Supermarket_Management_System/css/home-style.css HTTP/1.1" 200 3156
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:02:36 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:02:48 +0530] "GET /Supermarket_Management_System/incDecQuantityAction.jsp?id=1&quantity=inc HTTP/1.1" 500 2596
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:04:18 +0530] "GET /Supermarket_Management_System/myCart.jsp?msg=removed HTTP/1.1" 200 3454
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:04:18 +0530] "GET /Supermarket_Management_System/css/home-style.css HTTP/1.1" 200 3156
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:04:23 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:04:30 +0530] "GET /Supermarket_Management_System/incDecQuantityAction.jsp?id=1&quantity=inc HTTP/1.1" 500 2596
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:07:14 +0530] "GET /Supermarket_Management_System/myCart.jsp?msg=removed HTTP/1.1" 200 3454
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:07:14 +0530] "GET /Supermarket_Management_System/css/home-style.css HTTP/1.1" 200 3156
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:07:16 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:07:21 +0530] "GET /Supermarket_Management_System/incDecQuantityAction.jsp?id=1&quantity=inc HTTP/1.1" 500 2604
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:17:08 +0530] "GET /Supermarket_Management_System/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:17:08 +0530] "GET /Supermarket_Management_System/login.jsp HTTP/1.1" 200 795
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:17:13 +0530] "GET /Supermarket_Management_System/login.jsp HTTP/1.1" 200 795
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:17:13 +0530] "GET /Supermarket_Management_System/css/signup-style.css HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:17:15 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:17:26 +0530] "POST /Supermarket_Management_System/loginAction.jsp HTTP/1.1" 302 -
